modelo,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro
LogisticRegression,0.961518727552591,0.961677648928046,0.961518727552591,0.9615639810841243,0.9569993199270579
RandomForest,0.900974858902001,0.910841057591041,0.900974858902001,0.8976483663067107,0.8730767580443755
DecisionTree,0.8496664956387892,0.8493798958590988,0.8496664956387892,0.84949542290819,0.8281987397419946
